"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"CP_Radial_D4.0mm_P2.00mm";1;"0.47uF";;;
2;"C2";"CP_Radial_D13.0mm_P7.50mm";1;"1000uF";;;
3;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"esp32_data pins";;;
4;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO_1_1";;;
5;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO_2_1";;;
6;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"ESP32 GND and 3.3v";;;
7;"J5";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"screw_terminal";;;
8;"J6";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO_3_1";;;
9;"J7";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO_4_1";;;
10;"J8";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO_5_1";;;
11;"J9";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO_6_1";;;
12;"J10";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO_7_1";;;
13;"J11";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO_1_2";;;
14;"J12";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO_2_2";;;
15;"J13";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO_3_2";;;
16;"J14";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO_4_2";;;
17;"J15";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO_5_2";;;
18;"J16";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO_6_2";;;
19;"J17";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO_7_2";;;
20;"R1, R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"4.7 KΩ";;;
21;"U1";"TSSOP-28_4.4x9.7mm_P0.65mm";1;"PCA9685PW";;;
